Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
2669.9,5,10,25,388.97,260.26,24,0.25,2034.61,1597.98,99.87,242.26,292.45,5,0.88,3825,0.46,2,37.76,49.54,1.04,3
1329.67,3,10,23,312.52,222.65,21.98,0.25,1512.78,1188.13,74.26,227.36,277.65,5,0.84,2788,0.42,2,30.68,56.96,1.05,3
2347.31,4,4,12,369.23,152.83,30.02,0.25,1173.92,921.99,57.62,257.18,301.83,2,0.79,2124,0,2,15.42,93.38,1.06,3
3695.63,4,6,16,372.8,113.38,48,0.25,1349.5,1059.89,66.24,232.23,305.47,2,0.76,2287,0.33,2,69.29,67.67,1.08,3
3576.07,4,9,22,375.26,245.11,27.98,0.25,1897.98,1490.67,93.17,241.3,295.21,3,0.8,3499,0.37,2,21.57,53.01,1.06,3
2606.34,4,6,16,316.68,109.32,15.97,0.25,1170.8,919.54,57.47,193.06,234.83,3,0.87,2219,0.5,2,17.18,56.4,1.04,3
1707.93,4,0,4,413.75,114.55,27.97,0.25,729.38,572.85,35.8,281.58,338.79,0,0.82,1315,0,0,0,0,1.04,3
1457.48,7,4,15,356.58,166.04,16,0.25,1429.12,1122.43,70.15,217.23,256.66,2,0.86,2651,0.25,2,14.85,58.16,1.04,3
2374.49,4,5,14,393.74,199.01,21.98,0.25,1390.58,1092.16,68.26,245.31,295.85,3,0.85,2601,0.27,2,36.75,79.28,1.05,3
1345.37,3,6,15,313.97,112.63,21.96,0.25,1121.92,881.16,55.07,208.28,247.17,3,0.87,2107,0.5,2,33.2,52.53,1.04,3
2431.77,3,14,31,267.06,318.15,14.59,0.25,2014.04,1581.82,98.86,295.93,331.71,5,0.87,5475,0.55,2,23.73,36.38,1.04,2
1729.07,4,14,32,344.94,415.09,17.08,0.25,2869.07,2253.36,140.84,281.58,323.74,4,0.86,7791,0.32,2,43.01,50.37,1.04,2
