Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
95.38,4,269,542,38.49,259.43,86.07,0.96,1984.01,5716.33,1508.273,255.13,323.12,89,0.96,2843,0.87,1.61,57.7,78.05,1.02,1
168.66,2,157,316,52.01,198.41,27.35,0.96,936.75,2745.06,733.463,209.62,220.8,57,0.94,1365,0.83,1.86,27.99,77.8,1.02,1
169.12,2,158,318,36.54,217.47,22.77,1.01,814.86,2475.6,670.323,182.64,203.26,85,0.94,1159,0.84,1.8,49.87,83.59,1.02,1
138.09,4,832,1668,106.72,318.36,24.84,0.86,3802.41,9798.57,2296.763,295.44,369.55,188,0.96,6094,0.86,1.67,49.62,74.77,1.02,1
203.33,3,551,1105,89.12,280.22,31.77,0.88,2443.67,6470.64,1559.623,255.64,278.3,133,0.93,3929,0.8,1.87,19.06,72.98,1.02,1
71.45,4,250,504,58.22,196.61,49.04,0.95,1319.23,3742.6,983.433,194.87,205.01,104,0.93,1977,0.85,1.87,22.56,72.47,1.02,1
292.86,1,749,1499,82.22,227.69,43.76,0.9,2990.77,8112.69,2042.083,277.88,294.14,146,0.96,5053,0.87,1.64,53.17,74.43,1.03,1
212.16,8,422,852,65.88,191.33,41.81,0.81,2473.32,6177.1,1354.153,190.45,231.64,69,0.93,3627,0.73,1.87,19.88,73.2,1.02,1
228,7,629,1265,52.82,253.78,34.65,0.81,2457.85,5755.14,1194.923,279.37,301.04,195,0.97,2460,0.86,1.71,48.34,64.23,1.03,1
925.2,3,637,1277,88.13,263.66,41.96,0.74,2574.66,5748.61,1108.113,251.49,300.12,207,0.97,2432,0.85,1.76,52.44,67.09,1.03,1
